""	"cycle"	"bonica_rid"	"recipient_name"	"share.ind"	"share.group"	"recipient_state"	"recipient_party"	"np_score"	"candidate_cfscore"	"state.party"	"total.raised"
"43271"	2006	"cand113692"	"SUIT, TERRIE L"	0.211048728909627	0.763994641143697	"VA"	200	0.581	0.566218063924553	"VA-200"	142246.77
"43272"	2008	"cand113692"	"SUIT, TERRIE L"	0.160690795146147	0.832902091918712	"VA"	200	0.581	0.566218063924553	"VA-200"	273133.94
"43273"	2002	"cand113771"	"RUST, THOMAS DAVIS"	0.327548752050051	0.370095096851795	"VA"	200	0.265	0.571111095786471	"VA-200"	213397.18
"43274"	2004	"cand113771"	"RUST, THOMAS DAVIS"	0.350023536352159	0.518548253403068	"VA"	200	0.265	0.571111095786471	"VA-200"	180359.3
"43275"	2006	"cand113771"	"RUST, THOMAS DAVIS"	0.437568158651067	0.534108689502001	"VA"	200	0.265	0.571111095786471	"VA-200"	185431.34
"43276"	2008	"cand113771"	"RUST, THOMAS DAVIS"	0.381011579036382	0.322263655881426	"VA"	200	0.265	0.571111095786471	"VA-200"	666720.42
"43277"	2010	"cand113771"	"RUST, THOMAS DAVIS"	0.278548857199492	0.375587036549728	"VA"	200	0.265	0.571111095786471	"VA-200"	740232.87
"43278"	2012	"cand113771"	"RUST, THOMAS DAVIS"	0.269504948247676	0.705279669665275	"VA"	200	0.265	0.571111095786471	"VA-200"	247593.71
"43279"	2002	"cand113772"	"ATHEY, CLAY"	0.147904533534318	0.396735258952615	"VA"	200	0.875	0.574274924741386	"VA-200"	74990.94
"43284"	2002	"cand113773"	"LINGAMFELTER, L SCOTT"	0.251571884384384	0.177912287287287	"VA"	200	0.862	0.844335881385096	"VA-200"	127872
"43285"	2004	"cand113773"	"LINGAMFELTER, L SCOTT"	0.168177623003823	0.409013097110274	"VA"	200	0.862	0.844335881385096	"VA-200"	203111.98
"43286"	2006	"cand113773"	"LINGAMFELTER, L SCOTT"	0.372908802032068	0.515757118217341	"VA"	200	0.862	0.844335881385096	"VA-200"	125917.06
"43287"	2008	"cand113773"	"LINGAMFELTER, L SCOTT"	0.342064764942012	0.266750396321396	"VA"	200	0.862	0.844335881385096	"VA-200"	431468
"43288"	2010	"cand113773"	"LINGAMFELTER, L SCOTT"	0.305556272054628	0.657089660457031	"VA"	200	0.862	0.844335881385096	"VA-200"	127161.52
"43289"	2012	"cand113773"	"LINGAMFELTER, L SCOTT"	0.35162562090511	0.64837437909489	"VA"	200	0.862	0.844335881385096	"VA-200"	210781
"43290"	2002	"cand113775"	"GEAR, THOMAS D (TOM)"	0.243505966457971	0.637133044532789	"VA"	200	0.734	0.809262197148076	"VA-200"	31417.3
"43291"	2004	"cand113775"	"GEAR, THOMAS D (TOM)"	0.315251524408344	0.595958236660157	"VA"	200	0.734	0.809262197148076	"VA-200"	75796.62
"43292"	2006	"cand113775"	"GEAR, THOMAS D (TOM)"	0.164894337651847	0.291300407999191	"VA"	200	0.734	0.809262197148076	"VA-200"	228966.14
"43293"	2008	"cand113775"	"GEAR, THOMAS D (TOM)"	0.240188563186148	0.74241007123423	"VA"	200	0.734	0.809262197148076	"VA-200"	100566.82
"43294"	2010	"cand113775"	"GEAR, THOMAS D (TOM)"	0.158100706399296	0.4026035230118	"VA"	200	0.734	0.809262197148076	"VA-200"	235957.2
"43296"	2004	"cand113776"	"SICKLES, MARK D"	0.231206477227064	0.151722474644481	"VA"	100	-0.835	-0.697484842454933	"VA-100"	265780.4
"43297"	2006	"cand113776"	"SICKLES, MARK D"	0.301065087649022	0.361595045691527	"VA"	100	-0.835	-0.697484842454933	"VA-100"	264794.17
"43298"	2008	"cand113776"	"SICKLES, MARK D"	0.214146313062999	0.678688257124946	"VA"	100	-0.835	-0.697484842454933	"VA-100"	147713.4
